FIPS Code,State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2009-2013","High school diploma only, 2009-2013","Some college or associate's degree, 2009-2013","Bachelor's degree or higher, 2009-2013","Percent of adults with less than a high school diploma, 2009-2013","Percent of adults with a high school diploma only, 2009-2013","Percent of adults completing some college or associate's degree, 2009-2013","Percent of adults with a bachelor's degree or higher, 2009-2013"
1025,AL,Clarke County,7,11,7,11,8459,3485,800,738,62.7,25.8,5.9,5.5,7627,4596,1510,1344,50.6,30.5,10,8.9,6471,5445,2614,1755,39.7,33.4,16.1,10.8,5165,6667,3733,2137,29.2,37.7,21.1,12.1,3746,7249,4317,1927,21.72979871,42.0500029,25.0420558,11.17814258
1027,AL,Clay County,9,10,9,10,4784,1719,345,311,66.8,24,4.8,4.3,4301,2583,690,479,53.4,32.1,8.6,5.9,3999,2692,1340,628,46.2,31.1,15.5,7.3,3322,3690,1992,763,34,37.8,20.4,7.8,2262,3621,2861,887,23.48665767,37.59734192,29.7061572,9.209843215
1029,AL,Cleburne County,8,4,8,4,4431,1198,272,162,73.1,19.8,4.5,2.7,4578,2031,385,431,61.7,27.4,5.2,5.8,4068,2394,1110,529,50.2,29.6,13.7,6.5,3536,3417,1701,879,37.1,35.8,17.8,9.2,2448,4013,2832,922,23.96475771,39.28536466,27.72393539,9.025942242
1031,AL,Coffee County,6,5,4,5,10790,4861,1332,1040,59.9,27,7.4,5.8,9836,6696,3378,2766,43.4,29.5,14.9,12.2,8522,6824,6354,4274,32.8,26.3,24.5,16.5,7755,7571,7985,5574,26.8,26.2,27.6,19.3,6002,10041,10311,7663,17.64411912,29.51759414,30.31131493,22.52697181
1033,AL,Colbert County,3,2,3,2,15050,7986,2151,1554,56.3,29.9,8,5.8,14231,11210,3756,3034,44.2,34.8,11.7,9.4,11952,11110,7293,3956,34.8,32.4,21.3,11.5,9972,12665,9474,5273,26.7,33.9,25.3,14.1,6269,13099,11819,6706,16.54395271,34.56838994,31.19045734,17.69720001
1035,AL,Conecuh County,9,11,7,11,5889,1709,332,342,71.2,20.7,4,4.1,5197,2569,714,556,57.5,28.4,7.9,6.2,4242,2927,1219,574,47.3,32.7,13.6,6.4,2984,3518,1877,851,32.3,38.1,20.3,9.2,2035,3905,2233,786,22.71458868,43.58745396,24.92465677,8.773300592
1037,AL,Coosa County,8,7,8,3,3983,1260,269,196,69.8,22.1,4.7,3.4,3780,2100,529,237,56.9,31.6,8,3.6,3315,2403,1010,456,46.1,33.4,14.1,6.3,2831,3164,1597,663,34.3,38.3,19.3,8,2031,3472,1836,797,24.96312684,42.67453294,22.56637168,9.795968535
1039,AL,Covington County,7,9,6,6,13470,4333,1014,918,68.3,22,5.1,4.7,12771,6401,2108,1636,55.7,27.9,9.2,7.1,10288,6962,4642,2198,42.7,28.9,19.3,9.1,8115,8473,5975,3142,31.6,33,23.2,12.2,5689,9007,7869,3727,21.63776054,34.25756884,29.92925605,14.17541457
1041,AL,Crenshaw County,8,6,8,6,5595,1295,385,296,73.9,17.1,5.1,3.9,5285,2062,549,576,62.4,24.3,6.5,6.8,4286,2444,1327,740,48.7,27.8,15.1,8.4,3700,2689,1840,1039,39.9,29,19.9,11.2,2219,3619,2491,1207,23.26971477,37.95092282,26.12206376,12.65729866
1043,AL,Cullman County,6,3,4,3,20137,6244,1405,1113,69.7,21.6,4.9,3.9,19635,11353,3122,2671,53.4,30.9,8.5,7.3,18093,13529,8882,3405,41.2,30.8,20.2,7.8,15322,16584,13719,6162,29.6,32,26.5,11.9,11166,17467,18382,8136,20.24623307,31.6712299,33.33031133,14.75222571
1045,AL,Dale County,4,5,4,5,9412,7274,2511,1895,44.6,34.5,11.9,9,8736,8575,4681,2898,35.1,34.5,18.8,11.6,7536,8199,9575,3948,25.8,28,32.7,13.5,6976,9159,10857,4398,22.2,29.2,34.6,14,5254,10189,12062,5622,15.86017448,30.75738823,36.41138648,16.9710508
1047,AL,Dallas County,4,5,4,5,15421,6357,2219,2329,58.6,24.1,8.4,8.8,13407,8590,3575,3265,46.5,29.8,12.4,11.3,11488,8010,5448,3474,40.4,28.2,19.2,12.2,8524,9646,6568,4004,29.7,33.6,22.9,13.9,6252,9962,7678,3955,22.45125148,35.77405106,27.57209035,14.2026071
1049,AL,DeKalb County,6,6,6,6,17375,4853,861,884,72.5,20.2,3.6,3.7,18316,8936,2888,1808,57.3,28,9,5.7,16665,10770,5529,2520,47,30.4,15.6,7.1,15469,14549,9194,3528,36.2,34,21.5,8.3,13818,16429,11716,5033,29.40250234,34.95829432,24.92978126,10.70942208
1051,AL,Elmore County,2,2,2,2,11066,4755,1063,967,62,26.6,6,5.4,10585,9169,2722,2567,42.3,36.6,10.9,10.3,10518,10188,6695,4031,33.5,32.4,21.3,12.8,9679,14576,11749,7173,22.4,33.8,27.2,16.6,7204,18277,16816,11274,13.44757425,34.11733961,31.39011779,21.04496836
1053,AL,Escambia County,6,6,6,6,12205,4721,836,886,65.4,25.3,4.5,4.8,10842,7230,2365,1586,49.2,32.8,10.7,7.2,9037,7841,3942,1707,40.1,34.8,17.5,7.6,8030,8860,5927,2693,31.5,34.7,23.2,10.6,6235,9561,7347,3059,23.79589344,36.48958095,28.03984429,11.67468132
1055,AL,Etowah County,3,2,3,2,31249,14834,3927,2765,59.2,28.1,7.4,5.2,27842,20344,8053,5491,45.1,33,13,8.9,23588,20194,15201,6689,35.9,30.7,23.1,10.2,18115,22531,19811,9372,25.9,32.3,28.4,13.4,13026,23385,24519,10547,18.2240441,32.716818,34.30334233,14.75579557
1057,AL,Fayette County,6,6,6,6,6552,2043,438,360,69.8,21.8,4.7,3.8,6340,3322,756,820,56.4,29.6,6.7,7.3,5060,3700,1917,995,43.4,31.7,16.4,8.5,4265,4404,2753,1157,33.9,35,21.9,9.2,3009,4677,2712,1576,25.12944714,39.0596292,22.64907299,13.16185068
1059,AL,Franklin County,6,6,6,6,9158,3413,558,467,67.4,25.1,4.1,3.4,9431,5062,1651,1029,54.9,29.5,9.6,6,8212,5640,3171,1269,44.9,30.8,17.3,6.9,7904,6363,4572,2021,37.9,30.5,21.9,9.7,5783,6982,5968,2325,27.46224713,33.15604521,28.3407731,11.04093456
1061,AL,Geneva County,3,2,3,2,8446,2921,486,554,68.1,23.5,3.9,4.5,7816,4500,1296,861,54,31.1,9,5.9,6896,4924,2597,1058,44.6,31.8,16.8,6.8,6046,5626,4390,1526,34.4,32,25,8.7,4286,7173,5373,1947,22.82336653,38.19692209,28.61174716,10.36796422
1063,AL,Greene County,3,2,8,6,3879,753,328,342,73.2,14.2,6.2,6.5,3488,1281,478,558,60.1,22.1,8.2,9.6,2734,1727,838,618,46.2,29.2,14.2,10.4,2182,2165,1205,652,35.2,34.9,19.4,10.5,1432,2367,1446,770,23.80714879,39.35162095,24.03990025,12.80133001
1065,AL,Hale County,3,2,3,2,5803,1322,309,391,74.2,16.9,3.9,5,5207,2007,646,564,61.8,23.8,7.7,6.7,4218,2862,1342,822,45.6,31,14.5,8.9,3683,3803,2247,858,34.8,35.9,21.2,8.1,2376,4319,2458,1339,22.64582539,41.16469691,23.42737324,12.76210446
1067,AL,Henry County,3,2,3,2,5087,1456,353,349,70.2,20.1,4.9,4.8,5051,2379,804,779,56,26.4,8.9,8.6,4121,2871,2123,817,41.5,28.9,21.4,8.2,3654,3192,2576,1545,33.3,29.1,23.5,14.1,2415,4269,3460,2018,19.85693143,35.10113468,28.44926821,16.59266568
1069,AL,Houston County,3,2,3,2,17385,8637,2189,2133,57.3,28.5,7.2,7,17844,13980,5521,5435,41.7,32.7,12.9,12.7,16226,15026,12206,7696,31.7,29.4,23.9,15,13771,17809,16274,10817,23.5,30.4,27.7,18.4,11117,23442,20879,13559,16.11229474,33.97539023,30.26073597,19.65157905
1071,AL,Jackson County,6,5,6,5,15217,4476,877,716,71.5,21,4.1,3.4,15423,9042,3094,1996,52.2,30.6,10.5,6.8,12932,9876,5568,2471,41.9,32,18.1,8,12006,12707,7924,3798,33,34.9,21.7,10.4,9418,13831,9023,4839,25.37792029,37.26927326,24.31354585,13.0392606
1073,AL,Jefferson County,1,1,1,1,186882,101656,32182,33827,52.7,28.7,9.1,9.5,141531,132921,63342,63229,35.3,33.1,15.8,15.8,111325,120393,109272,84718,26.2,28.3,25.7,19.9,82950,121233,123142,106833,19.1,27.9,28.4,24.6,55574,117235,136167,132512,12.58788461,26.55451564,30.84274091,30.01485884
1075,AL,Lamar County,9,10,8,7,6105,1522,350,284,73.9,18.4,4.2,3.4,5583,2988,640,580,57,30.5,6.5,5.9,4802,3441,1321,631,47.1,33.8,13,6.2,3759,4036,2125,838,34.9,37.5,19.8,7.8,2434,3877,2883,970,23.94726486,38.14443133,28.364817,9.543486816
1077,AL,Lauderdale County,3,2,3,2,20423,10109,2924,3016,56,27.7,8,8.3,19666,15561,5109,6044,42.4,33.6,11,13,16520,16585,9881,8450,32.1,32.2,19.2,16.4,13915,20105,13993,10881,23.6,34.1,23.8,18.5,10159,21510,17804,13248,16.19712696,34.29473382,28.38602701,21.12211221
1079,AL,Lawrence County,3,2,3,2,9757,3115,485,328,71.3,22.8,3.5,2.4,9514,5396,1101,665,57.1,32.4,6.6,4,8663,7293,2331,1211,44.4,37.4,12,6.2,7872,9029,4270,1723,34.4,39.4,18.7,7.5,5326,9063,6127,2783,22.85935019,38.89866518,26.29726598,11.94471866
1081,AL,Lee County,3,2,3,2,13597,5933,2498,4386,51.5,22.5,9.5,16.6,13621,9860,4712,7777,37.9,27.4,13.1,21.6,12179,11714,10091,11500,26.8,25.8,22.2,25.3,11557,16576,16686,17351,18.6,26.7,26.8,27.9,11017,21920,23053,26980,13.27829336,26.41918766,27.78474147,32.51777751
1083,AL,Limestone County,2,2,2,2,13226,5239,1411,1309,62.4,24.7,6.7,6.2,12837,8272,2648,2277,49.3,31.8,10.2,8.7,12856,10620,6585,4811,36.9,30.5,18.9,13.8,11081,14102,10924,7349,25.5,32.5,25.1,16.9,10763,17983,16280,13218,18.47915665,30.87528329,27.95137697,22.69418309
1085,AL,Lowndes County,2,2,2,2,4077,919,272,275,73.6,16.6,4.9,5,3629,1722,531,430,57.5,27.3,8.4,6.8,3007,2199,1170,566,43.3,31.7,16.9,8.2,2925,2731,1626,901,35.7,33.4,19.9,11,1927,2713,1674,1062,26.12527115,36.78145336,22.69522777,14.39804772
1087,AL,Macon County,6,5,6,6,7510,1937,1045,1810,61,15.7,8.5,14.7,6380,3172,1871,2526,45.7,22.7,13.4,18.1,5236,3195,2852,2476,38.1,23.2,20.7,18,4188,3486,3664,2617,30,25,26.3,18.8,2546,3842,3842,2489,20.01729696,30.20677726,30.20677726,19.56914852
1089,AL,Madison County,2,2,2,2,34090,28255,12537,17289,37,30.7,13.6,18.8,32899,34718,18930,23506,29.9,31.5,17.2,21.4,30211,35243,41361,46049,19.8,23.1,27.1,30.1,26308,39591,52676,61814,14.6,21.9,29.2,34.3,22463,48291,68121,86821,9.952768326,21.39648022,30.18263505,38.4681164
1091,AL,Marengo County,7,11,7,11,7786,2557,757,761,65.6,21.6,6.4,6.4,7127,4241,1181,1207,51.8,30.8,8.6,8.8,5425,4840,2173,1612,38.6,34.4,15.5,11.5,4020,5351,3223,1732,28.1,37.4,22.5,12.1,2276,5578,3686,2434,16.28739087,39.91698869,26.37755832,17.41806212
1093,AL,Marion County,8,4,7,11,9771,2937,448,484,71.6,21.5,3.3,3.5,10347,5194,1298,1085,57.7,29,7.2,6.1,9728,5584,2852,1301,50,28.7,14.7,6.7,7962,7107,4823,1719,36.8,32.9,22.3,8,5527,7733,6432,2059,25.41032596,35.5523884,29.5710542,9.466231438
1095,AL,Marshall County,4,5,4,5,19838,6898,1791,1573,65.9,22.9,6,5.2,19513,11947,4260,3377,49.9,30.6,10.9,8.6,17985,13615,9719,5359,38.5,29.2,20.8,11.5,16845,16758,13719,7639,30.6,30.5,25,13.9,14803,20233,17660,9434,23.82584903,32.56558828,28.42427169,15.184291
1097,AL,Mobile County,2,2,2,2,92179,43792,12675,12072,57.4,27.2,7.9,7.5,77046,69871,29075,24926,38.3,34.8,14.5,12.4,69340,75114,51722,36078,29.9,32.3,22.3,15.5,58223,79822,65452,46625,23.3,31.9,26.2,18.6,43354,88998,81672,55874,16.06310532,32.97467932,30.26032057,20.70189479
1099,AL,Monroe County,7,11,7,11,7137,2314,544,604,67.3,21.8,5.1,5.7,6079,4060,1107,1068,49.4,33,9,8.7,5799,4478,2413,1538,40.8,31.5,17,10.8,4939,5285,3341,1813,32.1,34.4,21.7,11.8,3656,5964,4038,1624,23.92357021,39.02630546,26.42324303,10.6268813
1101,AL,Montgomery County,2,2,2,2,39981,26418,10034,11119,45.7,30.2,11.5,12.7,36541,34341,17210,21989,33.2,31.2,15.6,20,31713,32844,32733,31075,24.7,25.6,25.5,24.2,27905,34410,38733,40294,19.7,24.3,27.4,28.5,21161,38460,40787,46113,14.44229837,26.2487971,27.83696535,31.47193918
1103,AL,Morgan County,3,2,3,2,22039,11946,3403,3418,54,29.3,8.3,8.4,20951,18311,6843,6164,40.1,35,13.1,11.8,19814,19282,15600,10019,30.6,29.8,24.1,15.5,17347,22252,20242,13490,23.7,30.3,27.6,18.4,15087,25641,24357,16178,18.56564488,31.55310535,29.97305047,19.9081993
1105,AL,Perry County,8,6,8,4,5338,1263,364,531,71.2,16.8,4.9,7.1,4468,2016,612,762,56.9,25.7,7.8,9.7,3507,1936,885,825,49,27.1,12.4,11.5,2625,2119,1533,701,37.6,30.4,22,10,1962,2535,1397,687,29.81309831,38.51998177,21.22777693,10.43914299
1107,AL,Pickens County,8,6,3,2,7409,2406,517,496,68.4,22.2,4.8,4.6,6800,3616,850,844,56.2,29.9,7,7,5682,4465,1957,859,43.8,34.4,15.1,6.6,4108,5110,2995,1323,30.3,37.8,22.1,9.8,2702,5584,3571,1469,20.27615188,41.90304668,26.79723848,11.02356296
1109,AL,Pike County,6,5,6,5,7862,2906,906,886,62.6,23.1,7.2,7.1,7852,3979,1412,1690,52.6,26.6,9.5,11.3,6451,4406,2618,2242,41,28,16.7,14.3,5472,5312,3655,3264,30.9,30,20.6,18.4,3653,6811,4369,4423,18.97071043,35.37079352,22.68903199,22.96946406
1111,AL,Randolph County,6,4,6,4,7664,2268,355,399,71.7,21.2,3.3,3.7,6965,3192,832,858,58.8,26.9,7,7.2,6363,3678,1776,992,49.7,28.7,13.9,7.7,5618,4723,2942,1479,38.1,32,19.9,10,4240,5688,3851,1716,27.3636657,36.70861568,24.85317844,11.07454017
1113,AL,Russell County,2,2,2,2,16516,4669,801,682,72.9,20.6,3.5,3,15314,7656,2284,1536,57.2,28.6,8.5,5.7,12750,9153,5332,2437,43,30.8,18,8.2,10749,10594,7654,3110,33.5,33,23.8,9.7,7084,11560,11644,5776,19.64285714,32.054126,32.28704525,16.01597161
1115,AL,St. Clair County,1,1,1,1,10304,3540,666,471,68.8,23.6,4.4,3.1,11841,7947,2335,1519,50.1,33.6,9.9,6.4,12450,10492,6271,2708,39,32.9,19.6,8.5,12353,14921,11036,4791,28.7,34.6,25.6,11.1,10453,20351,18171,8971,18.03920892,35.12062955,31.3585062,15.48165533
1117,AL,Shelby County,1,1,1,1,12329,4731,1110,1123,63.9,24.5,5.8,5.8,13473,11735,5204,6564,36.4,31.7,14.1,17.8,13507,15884,14569,17978,21.8,25.6,23.5,29,12386,21671,25479,34649,13.2,23,27.1,36.8,11641,28372,39311,53458,8.767001551,21.36735401,29.60566944,40.259975
1119,AL,Sumter County,8,6,8,6,5393,1391,608,592,67.5,17.4,7.6,7.4,4575,2314,814,843,53.5,27.1,9.5,9.9,4259,2343,1356,996,47.6,26.2,15.1,11.1,3077,2719,1849,1086,35.2,31.1,21.2,12.4,2027,3153,1861,1231,24.50435203,38.11653772,22.49758221,14.88152805
1121,AL,Talladega County,4,5,4,3,21302,8258,1898,1675,64.3,24.9,5.7,5.1,20624,12765,4004,3154,50.9,31.5,9.9,7.8,18098,14713,8576,4704,39.3,31.9,18.6,10.2,16102,18270,12737,5951,30.3,34.4,24,11.2,11810,20865,16002,7290,21.10172066,37.28089767,28.59184877,13.0255329
1123,AL,Tallapoosa County,6,6,6,6,12564,4419,963,833,66.9,23.5,5.1,4.4,11867,6899,2289,1904,51.7,30,10,8.3,10611,7187,4461,2902,42.2,28.6,17.7,11.5,8489,9348,6524,4012,29.9,32.9,23,14.1,6028,10359,7915,4717,20.77259726,35.69730177,27.27523347,16.2548675
1125,AL,Tuscaloosa County,3,2,3,2,33142,15125,5192,6571,55.2,25.2,8.6,10.9,29433,22955,9058,12237,39.9,31.2,12.3,16.6,27062,24689,19429,17782,30.4,27.8,21.8,20,20981,28115,26139,23804,21.2,28.4,26.4,24,15659,36284,33601,31652,13.36137752,30.96010103,28.67077375,27.0077477
1127,AL,Walker County,1,1,1,1,21847,6568,1651,1259,69.7,21,5.3,4,21870,12652,3136,2564,54.4,31.5,7.8,6.4,19350,14080,7436,3154,44,32,16.9,7.2,15713,16647,11183,4376,32.8,34.7,23.3,9.1,10894,16295,14116,4837,23.6097265,35.31489749,30.59251875,10.48285727
1129,AL,Washington County,8,7,8,7,5409,1758,229,278,70.5,22.9,3,3.6,4803,3036,643,489,53.5,33.8,7.2,5.5,4166,3693,1430,671,41.8,37.1,14.4,6.7,3112,4904,2255,969,27.7,43.6,20.1,8.6,2253,5607,2624,1095,19.45763883,48.4238708,22.66171517,9.456775196
1131,AL,Wilcox County,8,7,9,10,5260,1470,351,473,69.6,19.5,4.6,6.3,4423,1852,582,717,58.4,24.5,7.7,9.5,3771,2048,1098,798,48.9,26.5,14.2,10.3,3228,2414,1528,809,40.5,30.3,19.2,10.1,1792,3173,1700,834,23.89651954,42.31230831,22.66968929,11.12148286
1133,AL,Winston County,6,4,6,4,6440,2136,438,303,69.1,22.9,4.7,3.3,7390,3837,1041,675,57.1,29.6,8,5.2,7402,4195,2073,776,51.2,29,14.3,5.4,6387,5855,3425,1411,37.4,34.3,20.1,8.3,4728,5604,5208,1795,27.27430055,32.3276608,30.04326507,10.35477358
2000,AK,Alaska, , , , ,44994,50820,20052,19082,33.3,37.7,14.9,14.1,36941,82180,47722,44554,17.5,38.9,22.6,21.1,43244,92925,112763,74497,13.4,28.7,34.9,23,44282,105812,135655,93807,11.7,27.9,35.7,24.7,37995,124059,167313,124934,8.363397835,27.30766606,36.82866646,27.50026965
2010,AK,Aleutian Islands, , , , ,1237,1112,380,390,39.7,35.7,12.2,12.5,857,1544,769,574,22.9,41.2,20.5,15.3, , , , , , , , , , , , , , , , , , , , , , , , 
2013,AK,Aleutians East Borough,9,12,9,12, , , , , , , , , , , , , , , , ,514,481,338,198,33.6,31.4,22.1,12.9,507,983,419,98,25.3,49,20.9,4.9,529,1023,612,294,21.52156225,41.6192026,24.89829129,11.96094386
2016,AK,Aleutians West Census Area,7,11,9,11, , , , , , , , , , , , , , , , ,774,1767,2116,810,14.2,32.3,38.7,14.8,913,1462,1407,469,21.5,34.4,33.1,11,702,1487,1336,540,17.26937269,36.58056581,32.86592866,13.28413284
2020,AK,Anchorage Municipality,2,2,2,2,13711,24301,9878,9038,24.1,42.7,17.4,15.9,10839,36870,23327,21984,11.7,39.6,25.1,23.6,13139,34504,52320,36692,9.6,25.2,38.3,26.9,15522,38741,59428,46240,9.7,24.2,37.2,28.9,14022,43094,67784,60991,7.543130114,23.18240259,36.46437966,32.81008763
2050,AK,Bethel Census Area,7,11,7,11,2258,229,92,221,80.6,8.2,3.3,7.9,2605,1059,487,661,54.1,22,10.1,13.7,2584,2170,1204,896,37.7,31.7,17.6,13.1,2330,3098,1548,1050,29,38.6,19.3,13.1,1859,3702,2446,1056,20.51197175,40.84740152,26.98885579,11.65177094
2060,AK,Bristol Bay Borough,9,12,9,12,140,209,68,63,29.2,43.5,14.2,13.1,109,261,132,99,18.1,43.4,22,16.5,91,228,402,168,10.2,25.6,45.2,18.9,87,266,264,165,11.1,34,33.8,21.1,51,161,286,120,8.252427184,26.05177994,46.27831715,19.41747573
2068,AK,Denali Borough,8,7,8,7, , , , , , , , , , , , , , , , , , , , , , , , ,109,400,508,299,8.3,30.4,38.6,22.7,156,362,482,390,11.22302158,26.04316547,34.67625899,28.05755396
2070,AK,Dillingham Census Area,9,12,9,12,949,191,107,119,69.5,14,7.8,8.7,929,615,240,345,43.6,28.9,11.3,16.2,653,687,489,330,30.2,31.8,22.6,15.3,620,900,699,436,23.4,33.9,26.3,16.4,444,855,941,485,16.29357798,31.37614679,34.53211009,17.79816514
